kabupaten_kota,kecamatan,desa,dimensi_sosial,dimensi_ekonomi,dimensi_lingkungan,skor_idm,status_idm
Kab. Deli Serdang,Gunung Meriah,Kuta Bayu,0.8571,0.3167,0.7333,0.6357,Berkembang
Kab. Deli Serdang,Gunung Meriah,Gunung Paribuan,0.8171,0.45,0.7333,0.6668,Berkembang
Kab. Deli Serdang,Gunung Meriah,Simempar,0.8057,0.4333,0.6,0.613,Berkembang
Kab. Deli Serdang,Gunung Meriah,Gunung Seribu,0.8,0.4667,0.5333,0.6,Berkembang
Kab. Deli Serdang,Gunung Meriah,Gunung Sinembah,0.8457,0.4833,0.8667,0.7319,Maju
Kab. Deli Serdang,Gunung Meriah,Bintang Meriah,0.7943,0.4833,0.5333,0.6037,Berkembang
Kab. Deli Serdang,Gunung Meriah,Kuta Tengah,0.7714,0.3833,0.8667,0.6738,Berkembang
Kab. Deli Serdang,Gunung Meriah,Pekan Gunung Mariah,0.6857,0.6,0.8,0.6952,Berkembang
Kab. Deli Serdang,Gunung Meriah,Gunung Meriah,0.6914,0.6,0.8,0.6971,Berkembang
Kab. Deli Serdang,Gunung Meriah,Ujung Meriah,0.8,0.4333,0.6,0.6111,Berkembang
Kab. Deli Serdang,Gunung Meriah,Marjandi Pematang,0.8114,0.4667,0.6667,0.6483,Berkembang
Kab. Deli Serdang,Gunung Meriah,Marjandi Tongah,0.7029,0.3833,0.8667,0.651,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Medan Senembah,0.8629,0.6333,0.8667,0.7876,Maju
Kab. Deli Serdang,Tanjung Morawa,Ujung Serdang,0.8571,0.7667,0.3333,0.6524,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Limau Manis,0.9371,0.8333,0.6667,0.8124,Maju
Kab. Deli Serdang,Tanjung Morawa,Bandar Labuhan,0.9429,0.6,0.7333,0.7587,Maju
Kab. Deli Serdang,Tanjung Morawa,Bangun Rejo,0.8343,0.7,0.6,0.7114,Maju
Kab. Deli Serdang,Tanjung Morawa,Aek Pancur,0.7886,0.6167,0.6667,0.6906,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Sei Merah,0.8171,0.6167,0.6667,0.7002,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Naga Timbul,0.7657,0.6,0.7333,0.6997,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Lengau Seprang,0.8457,0.6667,0.8667,0.793,Maju
Kab. Deli Serdang,Tanjung Morawa,Tanjung Mulia,0.8171,0.6,0.6,0.6724,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Punden Rejo,0.7371,0.8,0.6,0.7124,Maju
Kab. Deli Serdang,Tanjung Morawa,Tanjung Morawa-B,0.8229,0.8667,0.8667,0.8521,Mandiri
Kab. Deli Serdang,Tanjung Morawa,Dagang Kerawan,0.8114,0.7833,0.5333,0.7094,Maju
Kab. Deli Serdang,Tanjung Morawa,Tanjung Morawa-A,0.8571,0.8,0.8667,0.8413,Mandiri
Kab. Deli Serdang,Tanjung Morawa,Buntu Bedimbar,0.8571,0.7333,0.9333,0.8413,Mandiri
Kab. Deli Serdang,Tanjung Morawa,Bangun Sari,0.8514,0.7667,0.8,0.806,Maju
Kab. Deli Serdang,Tanjung Morawa,Dagang Kelambir,0.8457,0.6667,0.5333,0.6819,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Dalu Sepuluh-A,0.8114,0.6,0.5333,0.6483,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Dalu Sepuluh-B,0.9143,0.5333,0.4667,0.6381,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Wonosari,0.88,0.8333,0.6667,0.7933,Maju
Kab. Deli Serdang,Tanjung Morawa,Perdamean,0.8571,0.5667,0.6667,0.6968,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Penara Kebun,0.8057,0.6167,0.6667,0.6963,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Bangun Sari Baru,0.7886,0.6333,0.8667,0.7629,Maju
Kab. Deli Serdang,Tanjung Morawa,Telaga Sari,0.8343,0.7333,0.5333,0.7003,Berkembang
Kab. Deli Serdang,Tanjung Morawa,Tanjung Baru,0.8686,0.65,0.5333,0.684,Berkembang
Kab. Deli Serdang,Sibolangit,Bandar Baru,0.8629,0.9167,0.6667,0.8154,Maju
Kab. Deli Serdang,Sibolangit,Batu Layang,0.7886,0.6,0.6667,0.6851,Berkembang
Kab. Deli Serdang,Sibolangit,Batu Mbelin,0.68,0.6,0.6667,0.6489,Berkembang
Kab. Deli Serdang,Sibolangit,Betimus Mbaru,0.7086,0.5667,0.6667,0.6473,Berkembang
Kab. Deli Serdang,Sibolangit,Bengkurung,0.6571,0.6,0.6,0.619,Berkembang
Kab. Deli Serdang,Sibolangit,Bingkawan,0.7257,0.6167,0.6667,0.6697,Berkembang
Kab. Deli Serdang,Sibolangit,Buah Nabar,0.68,0.5833,0.6667,0.6433,Berkembang
Kab. Deli Serdang,Sibolangit,Bukum,0.7086,0.55,0.6667,0.6417,Berkembang
Kab. Deli Serdang,Sibolangit,Buluh Awar,0.6629,0.5833,0.6667,0.6376,Berkembang
Kab. Deli Serdang,Sibolangit,Cinta Rakyat,0.7657,0.4667,0.6667,0.633,Berkembang
Kab. Deli Serdang,Sibolangit,Durin Serugun,0.7086,0.45,0.6667,0.6084,Berkembang
Kab. Deli Serdang,Sibolangit,Ketangkuhen,0.68,0.55,0.6667,0.6322,Berkembang
Kab. Deli Serdang,Sibolangit,Kuala,0.6343,0.5833,0.6,0.6059,Berkembang
Kab. Deli Serdang,Sibolangit,Martelu,0.6686,0.55,0.6667,0.6284,Berkembang
Kab. Deli Serdang,Sibolangit,Negeri Gugung,0.6914,0.5667,0.6667,0.6416,Berkembang
Kab. Deli Serdang,Sibolangit,Puangaja,0.7314,0.5833,0.6667,0.6605,Berkembang
Kab. Deli Serdang,Sibolangit,Rumah Kinangkung Sp,0.6743,0.4833,0.6667,0.6081,Berkembang
Kab. Deli Serdang,Sibolangit,Rambung Baru,0.6971,0.6167,0.6667,0.6602,Berkembang
Kab. Deli Serdang,Sibolangit,Rumah Pil Pil,0.7314,0.6,0.6667,0.666,Berkembang
Kab. Deli Serdang,Sibolangit,Rumah Sumbul,0.7486,0.5667,0.6667,0.6606,Berkembang
Kab. Deli Serdang,Sibolangit,Sala Bulan,0.7143,0.55,0.6667,0.6437,Berkembang
Kab. Deli Serdang,Sibolangit,Sayum Sabah,0.68,0.6,0.6667,0.6489,Berkembang
Kab. Deli Serdang,Sibolangit,Sembahe,0.7143,0.6667,0.5333,0.6381,Berkembang
Kab. Deli Serdang,Sibolangit,Sibolangit,0.7314,0.6667,0.6,0.666,Berkembang
Kab. Deli Serdang,Sibolangit,Sikeben,0.6571,0.5167,0.6667,0.6135,Berkembang
Kab. Deli Serdang,Sibolangit,Suka Maju,0.7829,0.6167,0.6667,0.6887,Berkembang
Kab. Deli Serdang,Sibolangit,Suka Makmur,0.7829,0.8833,0.6667,0.7776,Maju
Kab. Deli Serdang,Sibolangit,Tambunen,0.7086,0.5167,0.6667,0.6306,Berkembang
Kab. Deli Serdang,Sibolangit,Tanjung Beringin,0.5829,0.4333,0.8667,0.6276,Berkembang
Kab. Deli Serdang,Sibolangit,Ujung Deleng,0.64,0.5333,0.8667,0.68,Berkembang
