koperasi_id,kode_wilayah,nama_koperasi,tanggal_berdiri,jumlah_anggota,jenis_usaha,status_operasional
KDMP-00001,W0001,KDMP Pasirmulya,2025-12-04,89,Perikanan,Aktif
KDMP-00002,W0002,KDMP Melatiwangi,2025-07-18,259,Simpan Pinjam,Aktif
KDMP-00003,W0003,KDMP Ciheulang,2026-03-14,217,Sembako & Ritel,Aktif
KDMP-00004,W0004,KDMP Cipedes,2025-07-24,238,Sembako & Ritel,Aktif
KDMP-00005,W0005,KDMP Sukamukti,2025-08-25,164,Sembako & Ritel,Aktif
KDMP-00006,W0006,KDMP Solokanjeruk,2025-12-22,132,Perikanan,Aktif
KDMP-00007,W0007,KDMP Rancaekek Wetan,2026-03-23,73,Simpan Pinjam,Aktif
KDMP-00008,W0008,KDMP Tanjungwangi,2026-03-23,247,Logistik & Distribusi,Aktif
KDMP-00009,W0009,KDMP Sangiang,2025-12-19,230,Simpan Pinjam,Aktif
KDMP-00010,W0010,KDMP Cilame,2026-01-21,77,Logistik & Distribusi,Aktif
KDMP-00011,W0011,KDMP Sukaresmi,2026-01-22,319,Pertanian & Agroinput,Aktif
KDMP-00012,W0012,KDMP Sukajaya,2025-12-24,136,Perikanan,Aktif
KDMP-00013,W0013,KDMP Sukaluyu,2025-08-12,316,Sembako & Ritel,Aktif
KDMP-00014,W0014,KDMP Susukan,2025-09-08,85,Sembako & Ritel,Aktif
KDMP-00015,W0015,KDMP Bojongkaso,2025-08-05,129,Pertanian & Agroinput,Aktif
KDMP-00016,W0016,KDMP Palasari,2025-12-23,236,Logistik & Distribusi,Aktif
KDMP-00017,W0017,KDMP Hamerang,2025-11-18,81,Sembako & Ritel,Aktif
KDMP-00018,W0018,KDMP Rancagoong,2025-08-09,112,Perikanan,Aktif
KDMP-00019,W0019,KDMP Hegarsari,2025-07-04,255,Logistik & Distribusi,Aktif
KDMP-00020,W0020,KDMP Kanoman,2025-10-24,172,Simpan Pinjam,Aktif
KDMP-00021,W0021,KDMP Malati,2025-08-28,95,Sembako & Ritel,Aktif
KDMP-00022,W0022,KDMP Suka Asih,2026-01-06,180,Logistik & Distribusi,Aktif
KDMP-00023,W0023,KDMP Bahagia Kencana,2025-08-02,205,Sembako & Ritel,Aktif
KDMP-00024,W0024,KDMP Panca Indah,2025-08-03,165,Logistik & Distribusi,Aktif
KDMP-00025,W0025,KDMP Panca Makmur,2025-11-17,205,Simpan Pinjam,Aktif
KDMP-00026,W0026,KDMP Bahagia Jaya,2026-01-01,96,Sembako & Ritel,Aktif
KDMP-00027,W0027,KDMP Cinta Mukti,2026-02-10,199,Perikanan,Aktif
KDMP-00028,W0028,KDMP Sido Mulya,2026-01-09,124,Pertanian & Agroinput,Aktif
KDMP-00029,W0029,KDMP Sumber Makmur,2025-07-03,67,Sembako & Ritel,Aktif
KDMP-00030,W0030,KDMP Karang Harjo,2025-07-04,121,Perikanan,Aktif
KDMP-00031,W0031,KDMP Sumber Damai,2025-07-12,97,Pertanian & Agroinput,Aktif
KDMP-00032,W0032,KDMP Panca Kencana,2026-02-01,255,Simpan Pinjam,Aktif
KDMP-00033,W0033,KDMP Karang Kencana,2025-10-12,161,Simpan Pinjam,Aktif
