laporan_id,koperasi_id,periode,tanggal_submit,persen_kelengkapan
LAP-000001,KDMP-00001,2026-03,2026-03-08,56.2
LAP-000002,KDMP-00001,2026-04,2026-04-05,51.3
LAP-000003,KDMP-00001,2026-05,2026-05-05,73.4
LAP-000004,KDMP-00001,2026-06,2026-06-05,77.3
LAP-000005,KDMP-00001,2026-07,2026-07-08,58.8
LAP-000006,KDMP-00001,2026-08,2026-08-10,59.2
LAP-000007,KDMP-00002,2026-03,2026-03-05,80.0
LAP-000008,KDMP-00002,2026-04,2026-04-01,89.9
LAP-000009,KDMP-00002,2026-05,2026-05-09,88.9
LAP-000010,KDMP-00002,2026-06,2026-06-03,88.3
LAP-000011,KDMP-00002,2026-07,2026-07-06,95.5
LAP-000012,KDMP-00002,2026-08,2026-08-01,99.7
LAP-000013,KDMP-00003,2026-03,2026-03-08,67.6
LAP-000014,KDMP-00003,2026-04,2026-04-02,72.4
LAP-000015,KDMP-00003,2026-05,2026-05-10,87.9
LAP-000016,KDMP-00003,2026-06,2026-06-08,83.1
LAP-000017,KDMP-00003,2026-07,2026-07-09,100
LAP-000018,KDMP-00003,2026-08,2026-08-06,100
LAP-000019,KDMP-00004,2026-03,2026-03-04,60.8
LAP-000020,KDMP-00004,2026-04,2026-04-03,86.4
LAP-000021,KDMP-00004,2026-05,2026-05-10,74.5
LAP-000022,KDMP-00004,2026-06,2026-06-05,18.1
LAP-000023,KDMP-00004,2026-07,2026-07-04,15.9
LAP-000024,KDMP-00004,2026-08,2026-08-01,31.9
LAP-000025,KDMP-00005,2026-03,2026-03-02,92.1
LAP-000026,KDMP-00005,2026-04,2026-04-06,91.2
LAP-000027,KDMP-00005,2026-05,2026-05-06,90.2
LAP-000028,KDMP-00005,2026-06,2026-06-02,61.1
LAP-000029,KDMP-00005,2026-07,2026-07-02,73.3
LAP-000030,KDMP-00005,2026-08,2026-08-08,60.3
LAP-000031,KDMP-00006,2026-03,2026-03-10,67.1
LAP-000032,KDMP-00006,2026-04,2026-04-06,66.9
LAP-000033,KDMP-00006,2026-05,2026-05-02,55.6
LAP-000034,KDMP-00006,2026-06,2026-06-01,67.6
LAP-000035,KDMP-00006,2026-07,2026-07-08,52.3
LAP-000036,KDMP-00006,2026-08,2026-08-05,31.6
LAP-000037,KDMP-00007,2026-03,2026-03-04,36.3
