notifikasi_id,koperasi_id,tanggal,jenis_alert,status_tindak_lanjut
NTF-000001,KDMP-00001,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000002,KDMP-00001,2026-06-28,Skor turun 6.7 poin dari bulan sebelumnya,Baru
NTF-000003,KDMP-00001,2026-08-28,Skor turun 7.4 poin dari bulan sebelumnya,Baru
NTF-000004,KDMP-00002,2026-05-28,Skor turun 18.5 poin dari bulan sebelumnya,Baru
NTF-000005,KDMP-00002,2026-08-28,Skor turun 10.6 poin dari bulan sebelumnya,Baru
NTF-000006,KDMP-00003,2026-06-28,Skor turun 5.9 poin dari bulan sebelumnya,Baru
NTF-000007,KDMP-00004,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000008,KDMP-00004,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000009,KDMP-00004,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000010,KDMP-00005,2026-04-28,Skor turun 5.6 poin dari bulan sebelumnya,Baru
NTF-000011,KDMP-00005,2026-06-28,Skor turun 48.2 poin dari bulan sebelumnya,Baru
NTF-000012,KDMP-00006,2026-05-28,Skor turun 25.5 poin dari bulan sebelumnya,Baru
NTF-000013,KDMP-00006,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000014,KDMP-00006,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000015,KDMP-00007,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000016,KDMP-00008,2026-04-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000017,KDMP-00009,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000018,KDMP-00009,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000019,KDMP-00010,2026-05-28,Skor turun 14.1 poin dari bulan sebelumnya,Baru
NTF-000020,KDMP-00010,2026-07-28,Skor turun 8.5 poin dari bulan sebelumnya,Baru
NTF-000021,KDMP-00011,2026-04-28,Skor turun 17.0 poin dari bulan sebelumnya,Baru
NTF-000022,KDMP-00011,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000023,KDMP-00011,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000024,KDMP-00011,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000025,KDMP-00013,2026-05-28,Skor turun 10.0 poin dari bulan sebelumnya,Baru
NTF-000026,KDMP-00013,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000027,KDMP-00013,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000028,KDMP-00014,2026-06-28,Skor turun 19.8 poin dari bulan sebelumnya,Baru
NTF-000029,KDMP-00014,2026-08-28,Skor turun 8.1 poin dari bulan sebelumnya,Baru
NTF-000030,KDMP-00015,2026-04-28,Skor turun 15.4 poin dari bulan sebelumnya,Baru
NTF-000031,KDMP-00015,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000032,KDMP-00015,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000033,KDMP-00016,2026-04-28,Skor turun 10.5 poin dari bulan sebelumnya,Baru
NTF-000034,KDMP-00016,2026-06-28,Skor turun 24.9 poin dari bulan sebelumnya,Baru
NTF-000035,KDMP-00016,2026-08-28,Skor turun 6.8 poin dari bulan sebelumnya,Baru
NTF-000036,KDMP-00018,2026-04-28,Skor turun 17.2 poin dari bulan sebelumnya,Baru
