kode_wilayah,status_idm,skor_idm,dimensi_sosial,dimensi_ekonomi,dimensi_lingkungan,mata_pencaharian_dominan,ekonomi_beragam,akses_pusat_perdagangan
W0001,Maju,0.731,0.9429,0.65,0.6,Peternakan,True,Jauh (>60 menit)
W0002,Mandiri,0.83,0.84,0.7833,0.8667,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0003,Mandiri,0.8624,0.9371,0.7833,0.8667,Perdagangan,True,Dekat (<30 menit)
W0004,Maju,0.7448,0.8343,0.6667,0.7333,Perikanan,True,Dekat (<30 menit)
W0005,Maju,0.7171,0.8514,0.6333,0.6667,Perdagangan,False,Dekat (<30 menit)
W0006,Mandiri,0.8497,0.9657,0.85,0.7333,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0007,Mandiri,0.959,0.9771,0.9667,0.9333,Jasa & Pariwisata,True,Jauh (>60 menit)
W0008,Maju,0.7935,0.8971,0.6833,0.8,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0009,Maju,0.7397,0.8857,0.8,0.5333,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0010,Mandiri,0.88,0.84,0.9333,0.8667,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0011,Mandiri,0.8451,0.8686,0.7333,0.9333,Perdagangan,False,Jauh (>60 menit)
W0012,Maju,0.754,0.8286,0.6333,0.8,Perdagangan,True,Sedang (30-60 menit)
W0013,Maju,0.7759,0.7943,0.8,0.7333,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0014,Maju,0.7243,0.8229,0.55,0.8,Peternakan,True,Sedang (30-60 menit)
W0015,Berkembang,0.7032,0.7429,0.6333,0.7333,Pertanian,False,Dekat (<30 menit)
W0016,Mandiri,0.9349,0.9714,0.8333,1.0,Perdagangan,True,Dekat (<30 menit)
W0017,Maju,0.724,0.7886,0.7167,0.6667,Industri Kecil & Kerajinan,True,Sedang (30-60 menit)
W0018,Mandiri,0.8698,0.9429,0.8667,0.8,Peternakan,True,Dekat (<30 menit)
W0019,Maju,0.7743,0.8229,0.6333,0.8667,Perdagangan,True,Dekat (<30 menit)
W0020,Maju,0.7851,0.7886,0.7,0.8667,Perdagangan,False,Sedang (30-60 menit)
W0021,Berkembang,0.689,0.8171,0.5833,0.6667,Perkebunan,True,Sedang (30-60 menit)
W0022,Berkembang,0.689,0.755,0.626,0.624,Perikanan,True,Sedang (30-60 menit)
W0023,Maju,0.749,0.796,0.682,0.822,Peternakan,True,Jauh (>60 menit)
W0024,Maju,0.785,0.841,0.81,0.842,Jasa & Pariwisata,True,Dekat (<30 menit)
W0025,Berkembang,0.652,0.674,0.684,0.585,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0026,Berkembang,0.694,0.629,0.699,0.621,Perikanan,False,Sedang (30-60 menit)
W0027,Berkembang,0.63,0.698,0.66,0.595,Perdagangan,True,Dekat (<30 menit)
W0028,Tertinggal,0.525,0.599,0.539,0.565,Industri Kecil & Kerajinan,False,Jauh (>60 menit)
W0029,Maju,0.772,0.783,0.828,0.8,Perdagangan,True,Sedang (30-60 menit)
W0030,Maju,0.819,0.855,0.819,0.895,Pertanian,True,Dekat (<30 menit)
W0031,Mandiri,0.899,0.917,0.914,0.974,Perkebunan,True,Dekat (<30 menit)
W0032,Sangat Tertinggal,0.393,0.37,0.464,0.382,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0033,Tertinggal,0.522,0.481,0.454,0.485,Peternakan,False,Sedang (30-60 menit)
W0034,Tertinggal,0.525,0.462,0.446,0.494,Perkebunan,False,Dekat (<30 menit)
W0035,Maju,0.757,0.766,0.759,0.694,Pertanian,True,Dekat (<30 menit)
W0036,Berkembang,0.636,0.618,0.603,0.618,Pertanian,False,Sedang (30-60 menit)
W0037,Sangat Tertinggal,0.346,0.349,0.376,0.293,Perkebunan,True,Dekat (<30 menit)
W0038,Mandiri,0.877,0.864,0.874,0.809,Perkebunan,False,Sedang (30-60 menit)
W0039,Berkembang,0.668,0.661,0.61,0.589,Peternakan,True,Sedang (30-60 menit)
W0040,Tertinggal,0.526,0.5,0.576,0.584,Perdagangan,True,Dekat (<30 menit)
W0041,Sangat Tertinggal,0.338,0.308,0.412,0.413,Perkebunan,False,Sedang (30-60 menit)
W0042,Sangat Tertinggal,0.449,0.421,0.414,0.495,Perkebunan,True,Sedang (30-60 menit)
W0043,Berkembang,0.66,0.689,0.668,0.732,Peternakan,False,Dekat (<30 menit)
W0044,Mandiri,0.9381,0.9143,0.9,1.0,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0045,Mandiri,0.8265,0.8629,0.6833,0.9333,Jasa & Pariwisata,False,Sedang (30-60 menit)
W0046,Mandiri,0.821,0.8629,0.6667,0.9333,Industri Kecil & Kerajinan,True,Sedang (30-60 menit)
W0047,Mandiri,0.8376,0.8629,0.7833,0.8667,Perikanan,True,Dekat (<30 menit)
W0048,Mandiri,0.8563,0.8857,0.8167,0.8667,Peternakan,False,Dekat (<30 menit)
W0049,Mandiri,0.8311,0.96,0.6,0.9333,Perdagangan,True,Dekat (<30 menit)
W0050,Mandiri,0.9459,0.9543,0.8833,1.0,Perdagangan,False,Jauh (>60 menit)
W0051,Mandiri,0.8976,0.9429,0.8833,0.8667,Peternakan,True,Sedang (30-60 menit)
W0052,Mandiri,0.8578,0.84,0.8,0.9333,Perkebunan,True,Sedang (30-60 menit)
W0053,Mandiri,0.8768,0.8971,0.8,0.9333,Perdagangan,True,Dekat (<30 menit)
W0054,Mandiri,0.8263,0.8457,0.7667,0.8667,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0055,Mandiri,0.8229,0.8686,0.6667,0.9333,Perikanan,True,Dekat (<30 menit)
W0056,Mandiri,0.8603,0.9143,0.8,0.8667,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0057,Mandiri,0.8341,0.8857,0.75,0.8667,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0058,Mandiri,0.8546,0.8971,0.8667,0.8,Pertanian,True,Dekat (<30 menit)
W0059,Mandiri,0.8935,0.8971,0.7833,1.0,Perdagangan,True,Sedang (30-60 menit)
W0060,Mandiri,0.961,0.9829,0.9667,0.9333,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0061,Maju,0.8097,0.8457,0.65,0.9333,Peternakan,True,Sedang (30-60 menit)
W0062,Mandiri,0.8383,0.9314,0.7833,0.8,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0063,Maju,0.7892,0.8343,0.6,0.9333,Pertanian,True,Dekat (<30 menit)
W0064,Maju,0.7849,0.7714,0.5833,1.0,Pertanian,True,Jauh (>60 menit)
W0065,Mandiri,0.8792,0.9543,0.8167,0.8667,Perikanan,True,Dekat (<30 menit)
W0066,Berkembang,0.6905,0.7714,0.5,0.8,Jasa & Pariwisata,True,Dekat (<30 menit)
W0067,Maju,0.7851,0.7886,0.7,0.8667,Peternakan,True,Sedang (30-60 menit)
W0068,Mandiri,0.9211,0.88,0.95,0.9333,Peternakan,True,Dekat (<30 menit)
W0069,Maju,0.7132,0.8229,0.7167,0.6,Jasa & Pariwisata,False,Dekat (<30 menit)
W0070,Maju,0.76,0.88,0.8,0.6,Perkebunan,True,Sedang (30-60 menit)
W0071,Mandiri,0.9511,0.92,1.0,0.9333,Perikanan,False,Sedang (30-60 menit)
W0072,Berkembang,0.6419,0.7257,0.7333,0.4667,Perdagangan,True,Dekat (<30 menit)
W0073,Berkembang,0.6705,0.8114,0.5333,0.6667,Perdagangan,True,Dekat (<30 menit)
W0074,Maju,0.7708,0.8457,0.8667,0.6,Jasa & Pariwisata,True,Dekat (<30 menit)
W0075,Maju,0.714,0.9086,0.5667,0.6667,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0076,Berkembang,0.6765,0.8629,0.5,0.6667,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0077,Berkembang,0.6854,0.8229,0.5667,0.6667,Perdagangan,True,Dekat (<30 menit)
W0078,Berkembang,0.686,0.6914,0.5,0.8667,Perikanan,True,Sedang (30-60 menit)
W0079,Berkembang,0.7054,0.7829,0.6,0.7333,Jasa & Pariwisata,False,Sedang (30-60 menit)
W0080,Maju,0.7468,0.8571,0.7167,0.6667,Jasa & Pariwisata,False,Dekat (<30 menit)
W0081,Berkembang,0.6967,0.84,0.65,0.6,Perkebunan,True,Dekat (<30 menit)
W0082,Berkembang,0.6865,0.7429,0.65,0.6667,Industri Kecil & Kerajinan,False,Sedang (30-60 menit)
W0083,Mandiri,0.8975,0.9257,0.8333,0.9333,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0084,Mandiri,0.8225,0.8343,0.6333,1.0,Peternakan,True,Dekat (<30 menit)
W0085,Berkembang,0.6946,0.8171,0.7333,0.5333,Jasa & Pariwisata,True,Dekat (<30 menit)
W0086,Mandiri,0.8392,0.8343,0.75,0.9333,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0087,Maju,0.719,0.8571,0.6333,0.6667,Perdagangan,True,Sedang (30-60 menit)
W0088,Berkembang,0.6256,0.76,0.45,0.6667,Perkebunan,True,Dekat (<30 menit)
W0089,Maju,0.786,0.788,0.773,0.728,Peternakan,True,Dekat (<30 menit)
W0090,Berkembang,0.701,0.77,0.649,0.648,Perkebunan,True,Dekat (<30 menit)
W0091,Berkembang,0.606,0.583,0.528,0.548,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0092,Berkembang,0.645,0.644,0.679,0.636,Perikanan,True,Dekat (<30 menit)
W0093,Tertinggal,0.522,0.486,0.528,0.469,Peternakan,False,Sedang (30-60 menit)
W0094,Berkembang,0.656,0.668,0.619,0.663,Perkebunan,True,Sedang (30-60 menit)
W0095,Tertinggal,0.539,0.494,0.527,0.577,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0096,Sangat Tertinggal,0.385,0.361,0.436,0.375,Pertanian,False,Dekat (<30 menit)
W0097,Tertinggal,0.555,0.531,0.589,0.576,Perikanan,False,Sedang (30-60 menit)
W0098,Tertinggal,0.579,0.59,0.584,0.594,Perikanan,True,Sedang (30-60 menit)
W0099,Maju,0.739,0.796,0.817,0.768,Pertanian,True,Sedang (30-60 menit)
W0100,Berkembang,0.607,0.571,0.632,0.639,Perikanan,True,Sedang (30-60 menit)
W0101,Maju,0.7165,0.7829,0.7,0.6667,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0102,Berkembang,0.6195,0.7086,0.4833,0.6667,Peternakan,True,Sedang (30-60 menit)
W0103,Berkembang,0.6211,0.68,0.5833,0.6,Perkebunan,False,Dekat (<30 menit)
W0104,Maju,0.7705,0.8114,0.5667,0.9333,Pertanian,True,Jauh (>60 menit)
W0105,Berkembang,0.6906,0.7886,0.6167,0.6667,Pertanian,True,Sedang (30-60 menit)
W0106,Berkembang,0.6489,0.68,0.6,0.6667,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0107,Maju,0.7129,0.7886,0.6833,0.6667,Peternakan,True,Dekat (<30 menit)
W0108,Berkembang,0.6433,0.68,0.5833,0.6667,Jasa & Pariwisata,False,Dekat (<30 menit)
W0109,Berkembang,0.6883,0.7314,0.4667,0.8667,Peternakan,True,Sedang (30-60 menit)
W0110,Maju,0.7265,0.8629,0.65,0.6667,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0111,Maju,0.7203,0.7943,0.7667,0.6,Perikanan,False,Sedang (30-60 menit)
W0112,Berkembang,0.6937,0.9143,0.5,0.6667,Peternakan,True,Sedang (30-60 menit)
W0113,Berkembang,0.664,0.675,0.662,0.639,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0114,Berkembang,0.692,0.615,0.761,0.637,Peternakan,True,Jauh (>60 menit)
W0115,Maju,0.786,0.727,0.81,0.731,Perkebunan,True,Dekat (<30 menit)
W0116,Maju,0.783,0.807,0.711,0.803,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0117,Berkembang,0.677,0.597,0.673,0.618,Perikanan,True,Dekat (<30 menit)
W0118,Mandiri,0.865,0.804,0.923,0.896,Peternakan,True,Dekat (<30 menit)
W0119,Tertinggal,0.501,0.471,0.562,0.443,Jasa & Pariwisata,False,Jauh (>60 menit)
W0120,Berkembang,0.674,0.605,0.684,0.692,Perikanan,True,Sedang (30-60 menit)
W0121,Berkembang,0.617,0.603,0.647,0.675,Pertanian,False,Dekat (<30 menit)
