skor_id,koperasi_id,periode,skor_transaksi,skor_stok,skor_pelaporan,skor_komposit,kategori,prediksi_risiko_3bln
SKR-KDMP-00001-2026-03,KDMP-00001,2026-03,63.8,62.1,56.2,60.7,Waspada,39.3
SKR-KDMP-00001-2026-04,KDMP-00001,2026-04,29.5,29.8,51.3,36.9,Kritis,66.4
SKR-KDMP-00001-2026-05,KDMP-00001,2026-05,37.1,69.2,73.4,59.9,Waspada,39.7
SKR-KDMP-00001-2026-06,KDMP-00001,2026-06,55.4,26.8,77.3,53.2,Waspada,25.6
SKR-KDMP-00001-2026-07,KDMP-00001,2026-07,43.2,56.1,58.8,52.7,Waspada,56.8
SKR-KDMP-00001-2026-08,KDMP-00001,2026-08,40.2,36.4,59.2,45.3,Waspada,64.1
SKR-KDMP-00002-2026-03,KDMP-00002,2026-03,80.6,99.0,80.0,86.5,Sehat,16.6
SKR-KDMP-00002-2026-04,KDMP-00002,2026-04,83.7,94.9,89.9,89.5,Sehat,13.7
SKR-KDMP-00002-2026-05,KDMP-00002,2026-05,62.0,62.1,88.9,71.0,Sehat,42.5
SKR-KDMP-00002-2026-06,KDMP-00002,2026-06,98.2,86.4,88.3,91.0,Sehat,11.1
SKR-KDMP-00002-2026-07,KDMP-00002,2026-07,91.3,89.4,95.5,92.1,Sehat,4.7
SKR-KDMP-00002-2026-08,KDMP-00002,2026-08,91.9,53.0,99.7,81.5,Sehat,22.5
SKR-KDMP-00003-2026-03,KDMP-00003,2026-03,61.7,64.4,67.6,64.6,Waspada,34.1
SKR-KDMP-00003-2026-04,KDMP-00003,2026-04,71.8,77.8,72.4,74.0,Sehat,24.9
SKR-KDMP-00003-2026-05,KDMP-00003,2026-05,69.7,88.4,87.9,82.0,Sehat,9.1
SKR-KDMP-00003-2026-06,KDMP-00003,2026-06,93.2,52.0,83.1,76.1,Sehat,18.7
SKR-KDMP-00003-2026-07,KDMP-00003,2026-07,64.1,67.2,100.0,77.1,Sehat,23.8
SKR-KDMP-00003-2026-08,KDMP-00003,2026-08,87.0,86.4,100.0,91.1,Sehat,6.1
SKR-KDMP-00004-2026-03,KDMP-00004,2026-03,67.3,31.3,60.8,53.1,Waspada,43.8
SKR-KDMP-00004-2026-04,KDMP-00004,2026-04,51.5,32.8,86.4,56.9,Waspada,37.3
SKR-KDMP-00004-2026-05,KDMP-00004,2026-05,54.4,29.3,74.5,52.7,Waspada,43.8
SKR-KDMP-00004-2026-06,KDMP-00004,2026-06,4.5,13.4,18.1,12.0,Kritis,98.4
SKR-KDMP-00004-2026-07,KDMP-00004,2026-07,12.1,10.9,15.9,13.0,Kritis,97.6
SKR-KDMP-00004-2026-08,KDMP-00004,2026-08,14.6,0.5,31.9,15.7,Kritis,80.5
SKR-KDMP-00005-2026-03,KDMP-00005,2026-03,76.6,98.5,92.1,89.1,Sehat,14.3
SKR-KDMP-00005-2026-04,KDMP-00005,2026-04,84.0,75.3,91.2,83.5,Sehat,16.4
SKR-KDMP-00005-2026-05,KDMP-00005,2026-05,92.3,97.5,90.2,93.3,Sehat,9.7
SKR-KDMP-00005-2026-06,KDMP-00005,2026-06,53.4,20.7,61.1,45.1,Waspada,88.1
SKR-KDMP-00005-2026-07,KDMP-00005,2026-07,35.9,42.9,73.3,50.7,Waspada,86.7
SKR-KDMP-00005-2026-08,KDMP-00005,2026-08,41.4,66.2,60.3,56.0,Waspada,33.3
SKR-KDMP-00006-2026-03,KDMP-00006,2026-03,30.7,41.4,67.1,46.4,Waspada,53.7
SKR-KDMP-00006-2026-04,KDMP-00006,2026-04,65.8,67.2,66.9,66.6,Waspada,31.1
SKR-KDMP-00006-2026-05,KDMP-00006,2026-05,25.8,41.9,55.6,41.1,Waspada,68.5
SKR-KDMP-00006-2026-06,KDMP-00006,2026-06,38.3,33.3,67.6,46.4,Waspada,73.5
SKR-KDMP-00006-2026-07,KDMP-00006,2026-07,17.9,32.6,52.3,34.3,Kritis,75.3
SKR-KDMP-00006-2026-08,KDMP-00006,2026-08,31.3,22.0,31.6,28.3,Kritis,87.3
SKR-KDMP-00007-2026-03,KDMP-00007,2026-03,13.0,35.4,36.3,28.2,Kritis,76.0
SKR-KDMP-00007-2026-04,KDMP-00007,2026-04,36.9,36.6,64.4,46.0,Waspada,52.5
SKR-KDMP-00007-2026-05,KDMP-00007,2026-05,34.8,21.7,67.1,41.2,Waspada,42.7
SKR-KDMP-00007-2026-06,KDMP-00007,2026-06,49.1,34.8,80.1,54.7,Waspada,30.9
SKR-KDMP-00007-2026-07,KDMP-00007,2026-07,53.0,46.0,75.3,58.1,Waspada,22.3
SKR-KDMP-00007-2026-08,KDMP-00007,2026-08,47.6,71.2,94.1,71.0,Sehat,14.0
SKR-KDMP-00008-2026-03,KDMP-00008,2026-03,72.3,86.4,66.3,75.0,Sehat,25.8
SKR-KDMP-00008-2026-04,KDMP-00008,2026-04,60.6,59.1,68.1,62.6,Waspada,36.5
SKR-KDMP-00008-2026-05,KDMP-00008,2026-05,67.9,44.9,88.4,67.1,Waspada,35.0
SKR-KDMP-00008-2026-06,KDMP-00008,2026-06,83.5,64.1,95.5,81.0,Sehat,7.7
SKR-KDMP-00008-2026-07,KDMP-00008,2026-07,97.3,86.4,98.2,94.0,Sehat,3.2
SKR-KDMP-00008-2026-08,KDMP-00008,2026-08,99.9,89.9,100.0,96.6,Sehat,4.8
SKR-KDMP-00009-2026-03,KDMP-00009,2026-03,33.2,29.0,41.5,34.6,Kritis,68.1
SKR-KDMP-00009-2026-04,KDMP-00009,2026-04,34.3,34.8,65.0,44.7,Waspada,54.4
SKR-KDMP-00009-2026-05,KDMP-00009,2026-05,36.1,19.2,62.3,39.2,Kritis,54.9
SKR-KDMP-00009-2026-06,KDMP-00009,2026-06,36.0,40.4,71.5,49.3,Waspada,43.5
SKR-KDMP-00009-2026-07,KDMP-00009,2026-07,67.0,51.3,79.7,66.0,Waspada,10.6
SKR-KDMP-00009-2026-08,KDMP-00009,2026-08,64.8,68.7,77.4,70.3,Sehat,12.6
SKR-KDMP-00010-2026-03,KDMP-00010,2026-03,79.2,78.3,87.8,81.8,Sehat,17.8
SKR-KDMP-00010-2026-04,KDMP-00010,2026-04,84.7,76.8,92.2,84.6,Sehat,15.4
SKR-KDMP-00010-2026-05,KDMP-00010,2026-05,71.5,58.3,81.8,70.5,Sehat,38.1
SKR-KDMP-00010-2026-06,KDMP-00010,2026-06,73.9,94.2,85.6,84.6,Sehat,16.8
SKR-KDMP-00010-2026-07,KDMP-00010,2026-07,81.2,53.0,94.2,76.1,Sehat,16.2
SKR-KDMP-00010-2026-08,KDMP-00010,2026-08,93.2,75.8,97.3,88.8,Sehat,10.3
SKR-KDMP-00011-2026-03,KDMP-00011,2026-03,47.5,70.7,70.1,62.8,Waspada,37.0
SKR-KDMP-00011-2026-04,KDMP-00011,2026-04,46.0,33.3,58.0,45.8,Waspada,54.9
SKR-KDMP-00011-2026-05,KDMP-00011,2026-05,39.5,59.1,76.6,58.4,Waspada,44.5
SKR-KDMP-00011-2026-06,KDMP-00011,2026-06,26.9,17.2,69.3,37.8,Kritis,70.3
SKR-KDMP-00011-2026-07,KDMP-00011,2026-07,32.6,42.4,43.2,39.4,Kritis,81.3
SKR-KDMP-00011-2026-08,KDMP-00011,2026-08,14.4,45.7,41.6,33.9,Kritis,75.0
SKR-KDMP-00012-2026-03,KDMP-00012,2026-03,57.3,84.8,70.6,70.9,Sehat,29.6
SKR-KDMP-00012-2026-04,KDMP-00012,2026-04,82.7,80.8,73.6,79.0,Sehat,20.7
SKR-KDMP-00012-2026-05,KDMP-00012,2026-05,75.5,76.3,86.8,79.5,Sehat,14.0
SKR-KDMP-00012-2026-06,KDMP-00012,2026-06,94.2,79.8,93.0,89.0,Sehat,8.3
SKR-KDMP-00012-2026-07,KDMP-00012,2026-07,89.9,81.8,100.0,90.6,Sehat,7.4
SKR-KDMP-00012-2026-08,KDMP-00012,2026-08,88.8,80.8,100.0,89.9,Sehat,11.8
SKR-KDMP-00013-2026-03,KDMP-00013,2026-03,54.0,48.0,79.6,60.5,Waspada,35.9
SKR-KDMP-00013-2026-04,KDMP-00013,2026-04,49.5,62.1,56.7,56.1,Waspada,45.4
SKR-KDMP-00013-2026-05,KDMP-00013,2026-05,28.0,35.6,74.6,46.1,Waspada,69.0
SKR-KDMP-00013-2026-06,KDMP-00013,2026-06,48.1,38.6,45.0,43.9,Waspada,71.0
SKR-KDMP-00013-2026-07,KDMP-00013,2026-07,18.4,24.7,56.2,33.1,Kritis,80.2
SKR-KDMP-00013-2026-08,KDMP-00013,2026-08,33.8,30.6,33.5,32.6,Kritis,80.6
