stok_id,koperasi_id,tanggal_pencatatan,jenis_barang,jumlah_unit,nilai_rupiah
STK-000001,KDMP-00001,2026-03-31,Gula,369,3608000.0
STK-000002,KDMP-00001,2026-04-30,Beras,198,2367000.0
STK-000003,KDMP-00001,2026-05-31,Gula,425,7305000.0
STK-000004,KDMP-00001,2026-06-30,Minyak Goreng,176,1804000.0
STK-000005,KDMP-00001,2026-07-31,Minyak Goreng,322,5819000.0
STK-000006,KDMP-00001,2026-08-13,Minyak Goreng,188,4036000.0
STK-000007,KDMP-00002,2026-03-31,Gula,976,18751000.0
STK-000008,KDMP-00002,2026-04-30,Sembako Campuran,772,8238000.0
STK-000009,KDMP-00002,2026-05-31,Beras,380,8640000.0
STK-000010,KDMP-00002,2026-06-30,Minyak Goreng,661,7671000.0
STK-000011,KDMP-00002,2026-07-31,Minyak Goreng,730,6025000.0
STK-000012,KDMP-00002,2026-08-13,Sembako Campuran,282,2558000.0
STK-000013,KDMP-00003,2026-03-31,Beras,394,3920000.0
STK-000014,KDMP-00003,2026-04-30,Sembako Campuran,558,10834000.0
STK-000015,KDMP-00003,2026-05-31,Beras,704,14188000.0
STK-000016,KDMP-00003,2026-06-30,Pupuk,322,4193000.0
STK-000017,KDMP-00003,2026-07-31,Minyak Goreng,389,3520000.0
STK-000018,KDMP-00003,2026-08-13,Minyak Goreng,624,8379000.0
STK-000019,KDMP-00004,2026-03-31,Beras,174,2902000.0
STK-000020,KDMP-00004,2026-04-30,Sembako Campuran,223,4752000.0
STK-000021,KDMP-00004,2026-05-31,Sembako Campuran,172,2280000.0
STK-000022,KDMP-00004,2026-06-30,Beras,83,802000.0
STK-000023,KDMP-00004,2026-07-31,Gula,81,671000.0
STK-000024,KDMP-00004,2026-08-13,Pupuk,0,0.0
STK-000025,KDMP-00005,2026-03-31,Gula,949,17083000.0
STK-000026,KDMP-00005,2026-04-30,Beras,532,12422000.0
STK-000027,KDMP-00005,2026-05-31,Gula,872,16885000.0
STK-000028,KDMP-00005,2026-06-30,Gula,134,3134000.0
STK-000029,KDMP-00005,2026-07-31,Beras,221,2093000.0
STK-000030,KDMP-00005,2026-08-13,Pupuk,385,9249000.0
STK-000031,KDMP-00006,2026-03-31,Gula,260,3512000.0
STK-000032,KDMP-00006,2026-04-30,Sembako Campuran,414,7475000.0
STK-000033,KDMP-00006,2026-05-31,Sembako Campuran,254,2097000.0
STK-000034,KDMP-00006,2026-06-30,Pupuk,215,3724000.0
STK-000035,KDMP-00006,2026-07-31,Sembako Campuran,169,3437000.0
STK-000036,KDMP-00006,2026-08-13,Beras,106,1942000.0
STK-000037,KDMP-00007,2026-03-31,Sembako Campuran,196,3427000.0
STK-000038,KDMP-00007,2026-04-30,Gula,246,3944000.0
STK-000039,KDMP-00007,2026-05-31,Sembako Campuran,136,1159000.0
STK-000040,KDMP-00007,2026-06-30,Sembako Campuran,223,4983000.0
STK-000041,KDMP-00007,2026-07-31,Minyak Goreng,250,4946000.0
STK-000042,KDMP-00007,2026-08-13,Pupuk,434,4451000.0
STK-000043,KDMP-00008,2026-03-31,Sembako Campuran,626,10563000.0
STK-000044,KDMP-00008,2026-04-30,Beras,360,2970000.0
STK-000045,KDMP-00008,2026-05-31,Sembako Campuran,282,6780000.0
STK-000046,KDMP-00008,2026-06-30,Gula,381,3520000.0
STK-000047,KDMP-00008,2026-07-31,Beras,660,16180000.0
STK-000048,KDMP-00008,2026-08-13,Minyak Goreng,695,13902000.0
STK-000049,KDMP-00009,2026-03-31,Beras,164,1827000.0
STK-000050,KDMP-00009,2026-04-30,Sembako Campuran,233,5171000.0
STK-000051,KDMP-00009,2026-05-31,Gula,125,2515000.0
STK-000052,KDMP-00009,2026-06-30,Minyak Goreng,269,2962000.0
STK-000053,KDMP-00009,2026-07-31,Beras,290,4845000.0
STK-000054,KDMP-00009,2026-08-13,Pupuk,419,9632000.0
STK-000055,KDMP-00010,2026-03-31,Beras,543,12802000.0
STK-000056,KDMP-00010,2026-04-30,Gula,541,7029000.0
STK-000057,KDMP-00010,2026-05-31,Sembako Campuran,349,5374000.0
STK-000058,KDMP-00010,2026-06-30,Pupuk,747,7773000.0
STK-000059,KDMP-00010,2026-07-31,Beras,300,5330000.0
STK-000060,KDMP-00010,2026-08-13,Pupuk,492,11676000.0
STK-000061,KDMP-00011,2026-03-31,Minyak Goreng,447,7067000.0
STK-000062,KDMP-00011,2026-04-30,Minyak Goreng,226,5129000.0
STK-000063,KDMP-00011,2026-05-31,Pupuk,363,6675000.0
STK-000064,KDMP-00011,2026-06-30,Sembako Campuran,111,1870000.0
STK-000065,KDMP-00011,2026-07-31,Minyak Goreng,217,4381000.0
STK-000066,KDMP-00011,2026-08-13,Sembako Campuran,230,2123000.0
STK-000067,KDMP-00012,2026-03-31,Gula,607,8706000.0
STK-000068,KDMP-00012,2026-04-30,Beras,578,13890000.0
STK-000069,KDMP-00012,2026-05-31,Sembako Campuran,545,13391000.0
STK-000070,KDMP-00012,2026-06-30,Beras,552,11991000.0
STK-000071,KDMP-00012,2026-07-31,Beras,600,12425000.0
STK-000072,KDMP-00012,2026-08-13,Gula,558,12213000.0
STK-000073,KDMP-00013,2026-03-31,Beras,300,3418000.0
STK-000074,KDMP-00013,2026-04-30,Beras,368,6658000.0
STK-000075,KDMP-00013,2026-05-31,Beras,221,5172000.0
STK-000076,KDMP-00013,2026-06-30,Pupuk,257,3420000.0
STK-000077,KDMP-00013,2026-07-31,Sembako Campuran,141,2676000.0
STK-000078,KDMP-00013,2026-08-13,Minyak Goreng,149,2599000.0
STK-000079,KDMP-00014,2026-03-31,Pupuk,693,7093000.0
STK-000080,KDMP-00014,2026-04-30,Beras,597,5949000.0
STK-000081,KDMP-00014,2026-05-31,Minyak Goreng,813,13617000.0
STK-000082,KDMP-00014,2026-06-30,Sembako Campuran,392,5208000.0
STK-000083,KDMP-00014,2026-07-31,Beras,570,11589000.0
STK-000084,KDMP-00014,2026-08-13,Sembako Campuran,285,3025000.0
STK-000085,KDMP-00015,2026-03-31,Beras,284,5577000.0
STK-000086,KDMP-00015,2026-04-30,Pupuk,216,5293000.0
STK-000087,KDMP-00015,2026-05-31,Minyak Goreng,253,5815000.0
STK-000088,KDMP-00015,2026-06-30,Beras,310,4697000.0
STK-000089,KDMP-00015,2026-07-31,Beras,143,2471000.0
STK-000090,KDMP-00015,2026-08-13,Minyak Goreng,162,2916000.0
STK-000091,KDMP-00016,2026-03-31,Sembako Campuran,1163,26920000.0
STK-000092,KDMP-00016,2026-04-30,Pupuk,673,16455000.0
STK-000093,KDMP-00016,2026-05-31,Pupuk,539,13305000.0
STK-000094,KDMP-00016,2026-06-30,Pupuk,319,2809000.0
STK-000095,KDMP-00016,2026-07-31,Beras,532,12640000.0
STK-000096,KDMP-00016,2026-08-13,Beras,351,4810000.0
STK-000097,KDMP-00017,2026-03-31,Minyak Goreng,377,4336000.0
STK-000098,KDMP-00017,2026-04-30,Pupuk,262,2247000.0
STK-000099,KDMP-00017,2026-05-31,Pupuk,492,4292000.0
STK-000100,KDMP-00017,2026-06-30,Minyak Goreng,747,13597000.0
STK-000101,KDMP-00017,2026-07-31,Sembako Campuran,361,3502000.0
STK-000102,KDMP-00017,2026-08-13,Beras,474,11739000.0
STK-000103,KDMP-00018,2026-03-31,Gula,379,7569000.0
STK-000104,KDMP-00018,2026-04-30,Minyak Goreng,150,2992000.0
STK-000105,KDMP-00018,2026-05-31,Minyak Goreng,230,4268000.0
STK-000106,KDMP-00018,2026-06-30,Beras,309,3880000.0
STK-000107,KDMP-00018,2026-07-31,Minyak Goreng,306,7093000.0
STK-000108,KDMP-00018,2026-08-13,Sembako Campuran,220,4696000.0
STK-000109,KDMP-00019,2026-03-31,Gula,446,3648000.0
STK-000110,KDMP-00019,2026-04-30,Pupuk,356,3155000.0
STK-000111,KDMP-00019,2026-05-31,Minyak Goreng,159,3217000.0
STK-000112,KDMP-00019,2026-06-30,Sembako Campuran,200,4313000.0
STK-000113,KDMP-00019,2026-07-31,Beras,210,3885000.0
STK-000114,KDMP-00019,2026-08-13,Beras,82,1820000.0
STK-000115,KDMP-00020,2026-03-31,Gula,548,12252000.0
STK-000116,KDMP-00020,2026-04-30,Sembako Campuran,275,3854000.0
STK-000117,KDMP-00020,2026-05-31,Beras,653,15364000.0
STK-000118,KDMP-00020,2026-06-30,Sembako Campuran,825,10637000.0
STK-000119,KDMP-00020,2026-07-31,Minyak Goreng,510,10334000.0
STK-000120,KDMP-00020,2026-08-13,Pupuk,820,6602000.0
STK-000121,KDMP-00021,2026-03-31,Beras,5,58000.0
STK-000122,KDMP-00021,2026-04-30,Beras,112,2344000.0
STK-000123,KDMP-00021,2026-05-31,Beras,39,719000.0
STK-000124,KDMP-00021,2026-06-30,Sembako Campuran,138,1894000.0
STK-000125,KDMP-00021,2026-07-31,Pupuk,20,345000.0
STK-000126,KDMP-00021,2026-08-13,Sembako Campuran,24,345000.0
STK-000127,KDMP-00022,2026-03-31,Beras,317,4627000.0
STK-000128,KDMP-00022,2026-04-30,Sembako Campuran,801,14161000.0
STK-000129,KDMP-00022,2026-05-31,Sembako Campuran,281,4977000.0
STK-000130,KDMP-00022,2026-06-30,Gula,573,11570000.0
STK-000131,KDMP-00022,2026-07-31,Gula,731,16976000.0
STK-000132,KDMP-00022,2026-08-13,Minyak Goreng,717,7263000.0
STK-000133,KDMP-00023,2026-03-31,Sembako Campuran,208,2686000.0
STK-000134,KDMP-00023,2026-04-30,Beras,338,7656000.0
STK-000135,KDMP-00023,2026-05-31,Minyak Goreng,213,3069000.0
STK-000136,KDMP-00023,2026-06-30,Pupuk,121,1299000.0
STK-000137,KDMP-00023,2026-07-31,Gula,168,1951000.0
STK-000138,KDMP-00023,2026-08-13,Pupuk,184,2696000.0
STK-000139,KDMP-00024,2026-03-31,Beras,179,1991000.0
STK-000140,KDMP-00024,2026-04-30,Minyak Goreng,257,4558000.0
STK-000141,KDMP-00024,2026-05-31,Beras,158,2153000.0
STK-000142,KDMP-00024,2026-06-30,Beras,304,2597000.0
STK-000143,KDMP-00024,2026-07-31,Beras,426,9484000.0
STK-000144,KDMP-00024,2026-08-13,Sembako Campuran,144,3023000.0
STK-000145,KDMP-00025,2026-03-31,Beras,555,6830000.0
STK-000146,KDMP-00025,2026-04-30,Gula,783,7441000.0
STK-000147,KDMP-00025,2026-05-31,Beras,768,14190000.0
STK-000148,KDMP-00025,2026-06-30,Gula,676,16414000.0
STK-000149,KDMP-00025,2026-07-31,Sembako Campuran,798,14016000.0
STK-000150,KDMP-00025,2026-08-13,Beras,806,18241000.0
STK-000151,KDMP-00026,2026-03-31,Pupuk,360,7599000.0
STK-000152,KDMP-00026,2026-04-30,Minyak Goreng,133,3219000.0
STK-000153,KDMP-00026,2026-05-31,Beras,326,3601000.0
STK-000154,KDMP-00026,2026-06-30,Sembako Campuran,146,2086000.0
STK-000155,KDMP-00026,2026-07-31,Beras,133,3287000.0
STK-000156,KDMP-00026,2026-08-13,Beras,102,2389000.0
STK-000157,KDMP-00027,2026-03-31,Sembako Campuran,549,5905000.0
STK-000158,KDMP-00027,2026-04-30,Minyak Goreng,399,7943000.0
STK-000159,KDMP-00027,2026-05-31,Minyak Goreng,686,13949000.0
STK-000160,KDMP-00027,2026-06-30,Beras,655,11080000.0
STK-000161,KDMP-00027,2026-07-31,Pupuk,629,12761000.0
STK-000162,KDMP-00027,2026-08-13,Sembako Campuran,358,7567000.0
STK-000163,KDMP-00028,2026-03-31,Sembako Campuran,613,8367000.0
STK-000164,KDMP-00028,2026-04-30,Gula,598,7965000.0
STK-000165,KDMP-00028,2026-05-31,Beras,604,12060000.0
STK-000166,KDMP-00028,2026-06-30,Pupuk,596,11950000.0
STK-000167,KDMP-00028,2026-07-31,Sembako Campuran,275,5779000.0
STK-000168,KDMP-00028,2026-08-13,Sembako Campuran,149,3672000.0
STK-000169,KDMP-00029,2026-03-31,Minyak Goreng,286,5117000.0
STK-000170,KDMP-00029,2026-04-30,Pupuk,209,5088000.0
STK-000171,KDMP-00029,2026-05-31,Minyak Goreng,326,8125000.0
STK-000172,KDMP-00029,2026-06-30,Beras,309,3326000.0
STK-000173,KDMP-00029,2026-07-31,Minyak Goreng,168,2185000.0
STK-000174,KDMP-00029,2026-08-13,Minyak Goreng,364,4327000.0
STK-000175,KDMP-00030,2026-03-31,Pupuk,232,2955000.0
STK-000176,KDMP-00030,2026-04-30,Sembako Campuran,624,14800000.0
STK-000177,KDMP-00030,2026-05-31,Pupuk,328,8055000.0
STK-000178,KDMP-00030,2026-06-30,Minyak Goreng,752,14979000.0
STK-000179,KDMP-00030,2026-07-31,Minyak Goreng,869,8837000.0
STK-000180,KDMP-00030,2026-08-13,Minyak Goreng,623,12550000.0
STK-000181,KDMP-00031,2026-03-31,Gula,422,8519000.0
STK-000182,KDMP-00031,2026-04-30,Beras,892,17682000.0
STK-000183,KDMP-00031,2026-05-31,Minyak Goreng,666,5797000.0
STK-000184,KDMP-00031,2026-06-30,Gula,468,10796000.0
STK-000185,KDMP-00031,2026-07-31,Beras,294,5762000.0
STK-000186,KDMP-00031,2026-08-13,Gula,474,5652000.0
STK-000187,KDMP-00032,2026-03-31,Beras,509,11886000.0
STK-000188,KDMP-00032,2026-04-30,Beras,444,9348000.0
STK-000189,KDMP-00032,2026-05-31,Beras,922,8781000.0
STK-000190,KDMP-00032,2026-06-30,Minyak Goreng,524,9609000.0
STK-000191,KDMP-00032,2026-07-31,Beras,888,10397000.0
STK-000192,KDMP-00032,2026-08-13,Pupuk,767,15809000.0
STK-000193,KDMP-00033,2026-03-31,Sembako Campuran,350,3765000.0
STK-000194,KDMP-00033,2026-04-30,Gula,617,14784000.0
STK-000195,KDMP-00033,2026-05-31,Sembako Campuran,551,7845000.0
STK-000196,KDMP-00033,2026-06-30,Gula,968,14617000.0
STK-000197,KDMP-00033,2026-07-31,Gula,835,19327000.0
STK-000198,KDMP-00033,2026-08-13,Sembako Campuran,620,6572000.0
STK-000199,KDMP-00034,2026-03-31,Pupuk,166,2349000.0
STK-000200,KDMP-00034,2026-04-30,Pupuk,282,6011000.0
STK-000201,KDMP-00034,2026-05-31,Minyak Goreng,231,3542000.0
STK-000202,KDMP-00034,2026-06-30,Minyak Goreng,306,3429000.0
STK-000203,KDMP-00034,2026-07-31,Sembako Campuran,245,3219000.0
STK-000204,KDMP-00034,2026-08-13,Minyak Goreng,294,2999000.0
STK-000205,KDMP-00035,2026-03-31,Beras,236,5234000.0
STK-000206,KDMP-00035,2026-04-30,Gula,155,1810000.0
STK-000207,KDMP-00035,2026-05-31,Sembako Campuran,390,8019000.0
STK-000208,KDMP-00035,2026-06-30,Sembako Campuran,202,2136000.0
STK-000209,KDMP-00035,2026-07-31,Sembako Campuran,319,7731000.0
STK-000210,KDMP-00035,2026-08-13,Sembako Campuran,404,7312000.0
STK-000211,KDMP-00036,2026-03-31,Minyak Goreng,271,4046000.0
STK-000212,KDMP-00036,2026-04-30,Sembako Campuran,391,7855000.0
STK-000213,KDMP-00036,2026-05-31,Sembako Campuran,230,2703000.0
STK-000214,KDMP-00036,2026-06-30,Pupuk,181,1860000.0
STK-000215,KDMP-00036,2026-07-31,Pupuk,428,4782000.0
STK-000216,KDMP-00036,2026-08-13,Minyak Goreng,230,2762000.0
STK-000217,KDMP-00037,2026-03-31,Minyak Goreng,473,10339000.0
STK-000218,KDMP-00037,2026-04-30,Sembako Campuran,709,10082000.0
STK-000219,KDMP-00037,2026-05-31,Pupuk,304,7497000.0
STK-000220,KDMP-00037,2026-06-30,Sembako Campuran,480,9779000.0
STK-000221,KDMP-00037,2026-07-31,Gula,459,9884000.0
STK-000222,KDMP-00037,2026-08-13,Pupuk,536,11555000.0
STK-000223,KDMP-00038,2026-03-31,Pupuk,904,21312000.0
STK-000224,KDMP-00038,2026-04-30,Pupuk,562,6788000.0
STK-000225,KDMP-00038,2026-05-31,Gula,906,11420000.0
STK-000226,KDMP-00038,2026-06-30,Beras,713,11798000.0
STK-000227,KDMP-00038,2026-07-31,Minyak Goreng,832,8445000.0
STK-000228,KDMP-00038,2026-08-13,Beras,506,8654000.0
STK-000229,KDMP-00039,2026-03-31,Pupuk,385,9212000.0
STK-000230,KDMP-00039,2026-04-30,Gula,349,3892000.0
STK-000231,KDMP-00039,2026-05-31,Sembako Campuran,215,5156000.0
STK-000232,KDMP-00039,2026-06-30,Beras,200,3119000.0
STK-000233,KDMP-00039,2026-07-31,Pupuk,200,3141000.0
STK-000234,KDMP-00039,2026-08-13,Beras,207,4181000.0
STK-000235,KDMP-00040,2026-03-31,Pupuk,364,8686000.0
STK-000236,KDMP-00040,2026-04-30,Sembako Campuran,523,6538000.0
STK-000237,KDMP-00040,2026-05-31,Gula,420,9766000.0
STK-000238,KDMP-00040,2026-06-30,Pupuk,521,6973000.0
STK-000239,KDMP-00040,2026-07-31,Gula,830,13029000.0
STK-000240,KDMP-00040,2026-08-13,Beras,878,10397000.0
STK-000241,KDMP-00041,2026-03-31,Gula,272,5556000.0
STK-000242,KDMP-00041,2026-04-30,Minyak Goreng,381,9005000.0
STK-000243,KDMP-00041,2026-05-31,Gula,155,3163000.0
STK-000244,KDMP-00041,2026-06-30,Minyak Goreng,350,4471000.0
STK-000245,KDMP-00041,2026-07-31,Minyak Goreng,328,6293000.0
STK-000246,KDMP-00041,2026-08-13,Pupuk,369,7955000.0
STK-000247,KDMP-00042,2026-03-31,Gula,797,18439000.0
STK-000248,KDMP-00042,2026-04-30,Minyak Goreng,582,11016000.0
STK-000249,KDMP-00042,2026-05-31,Sembako Campuran,887,17300000.0
STK-000250,KDMP-00042,2026-06-30,Minyak Goreng,421,8678000.0
STK-000251,KDMP-00042,2026-07-31,Sembako Campuran,396,6217000.0
