transaksi_id,koperasi_id,tanggal,jenis_transaksi,nilai_rupiah,kategori_produk
TRX-0000001,KDMP-00001,2026-03-25,Penjualan,503000.0,Simpan Pinjam
TRX-0000002,KDMP-00001,2026-03-30,Pembelian,683000.0,Lainnya
TRX-0000003,KDMP-00001,2026-03-16,Pembelian,259000.0,Saprotan
TRX-0000004,KDMP-00001,2026-03-08,Simpan,804000.0,Saprotan
TRX-0000005,KDMP-00001,2026-04-22,Simpan,690000.0,Logistik
TRX-0000006,KDMP-00001,2026-04-07,Pembelian,143000.0,Sembako
TRX-0000007,KDMP-00001,2026-05-02,Pinjam,659000.0,Logistik
TRX-0000008,KDMP-00001,2026-05-06,Pinjam,668000.0,Logistik
TRX-0000009,KDMP-00001,2026-06-04,Pinjam,624000.0,Lainnya
TRX-0000010,KDMP-00001,2026-06-22,Pembelian,711000.0,Simpan Pinjam
TRX-0000011,KDMP-00001,2026-06-26,Penjualan,544000.0,Saprotan
TRX-0000012,KDMP-00001,2026-07-03,Simpan,739000.0,Simpan Pinjam
TRX-0000013,KDMP-00001,2026-07-06,Penjualan,698000.0,Lainnya
TRX-0000014,KDMP-00001,2026-08-10,Pinjam,457000.0,Sembako
TRX-0000015,KDMP-00001,2026-08-11,Pembelian,536000.0,Lainnya
TRX-0000016,KDMP-00002,2026-03-11,Pembelian,602000.0,Simpan Pinjam
TRX-0000017,KDMP-00002,2026-03-18,Simpan,1635000.0,Saprotan
TRX-0000018,KDMP-00002,2026-03-04,Penjualan,1310000.0,Logistik
TRX-0000019,KDMP-00002,2026-03-27,Pinjam,2107000.0,Simpan Pinjam
TRX-0000020,KDMP-00002,2026-03-01,Pinjam,605000.0,Sembako
TRX-0000021,KDMP-00002,2026-04-01,Pembelian,863000.0,Simpan Pinjam
TRX-0000022,KDMP-00002,2026-04-03,Pinjam,1932000.0,Sembako
TRX-0000023,KDMP-00002,2026-04-13,Pinjam,1128000.0,Logistik
TRX-0000024,KDMP-00002,2026-04-09,Penjualan,2559000.0,Lainnya
TRX-0000025,KDMP-00002,2026-04-12,Pinjam,1321000.0,Saprotan
TRX-0000026,KDMP-00002,2026-05-15,Simpan,983000.0,Simpan Pinjam
TRX-0000027,KDMP-00002,2026-05-19,Penjualan,2334000.0,Simpan Pinjam
TRX-0000028,KDMP-00002,2026-05-22,Penjualan,2134000.0,Sembako
TRX-0000029,KDMP-00002,2026-06-19,Pembelian,3071000.0,Lainnya
TRX-0000030,KDMP-00002,2026-06-13,Pinjam,587000.0,Lainnya
TRX-0000031,KDMP-00002,2026-06-30,Pinjam,2297000.0,Lainnya
TRX-0000032,KDMP-00002,2026-06-16,Simpan,2828000.0,Sembako
TRX-0000033,KDMP-00002,2026-06-28,Penjualan,1498000.0,Lainnya
TRX-0000034,KDMP-00002,2026-06-17,Pembelian,1980000.0,Sembako
TRX-0000035,KDMP-00002,2026-07-06,Pembelian,964000.0,Simpan Pinjam
TRX-0000036,KDMP-00002,2026-07-14,Penjualan,826000.0,Logistik
TRX-0000037,KDMP-00002,2026-07-27,Pembelian,1050000.0,Lainnya
TRX-0000038,KDMP-00002,2026-07-30,Penjualan,1215000.0,Sembako
TRX-0000039,KDMP-00002,2026-07-13,Simpan,1599000.0,Saprotan
TRX-0000040,KDMP-00002,2026-07-30,Penjualan,1987000.0,Lainnya
TRX-0000041,KDMP-00002,2026-08-03,Pembelian,711000.0,Lainnya
TRX-0000042,KDMP-00002,2026-08-13,Penjualan,1979000.0,Sembako
TRX-0000043,KDMP-00002,2026-08-02,Simpan,1912000.0,Lainnya
TRX-0000044,KDMP-00002,2026-08-07,Simpan,2759000.0,Logistik
TRX-0000045,KDMP-00002,2026-08-10,Pinjam,2158000.0,Sembako
TRX-0000046,KDMP-00002,2026-08-07,Pembelian,870000.0,Lainnya
TRX-0000047,KDMP-00003,2026-03-29,Simpan,372000.0,Simpan Pinjam
TRX-0000048,KDMP-00003,2026-03-16,Simpan,393000.0,Saprotan
TRX-0000049,KDMP-00003,2026-03-27,Simpan,336000.0,Saprotan
TRX-0000050,KDMP-00003,2026-03-16,Penjualan,839000.0,Simpan Pinjam
TRX-0000051,KDMP-00003,2026-04-11,Simpan,1761000.0,Logistik
TRX-0000052,KDMP-00003,2026-04-03,Pembelian,1440000.0,Logistik
TRX-0000053,KDMP-00003,2026-04-27,Pinjam,693000.0,Logistik
TRX-0000054,KDMP-00003,2026-04-28,Simpan,1734000.0,Sembako
TRX-0000055,KDMP-00003,2026-05-23,Pinjam,527000.0,Simpan Pinjam
TRX-0000056,KDMP-00003,2026-05-17,Penjualan,2245000.0,Simpan Pinjam
TRX-0000057,KDMP-00003,2026-05-27,Pembelian,833000.0,Sembako
TRX-0000058,KDMP-00003,2026-05-15,Penjualan,969000.0,Saprotan
TRX-0000059,KDMP-00003,2026-06-15,Pinjam,1470000.0,Sembako
TRX-0000060,KDMP-00003,2026-06-08,Simpan,2350000.0,Logistik
TRX-0000061,KDMP-00003,2026-06-06,Pinjam,2105000.0,Lainnya
TRX-0000062,KDMP-00003,2026-06-12,Pembelian,1985000.0,Saprotan
TRX-0000063,KDMP-00003,2026-06-23,Penjualan,2541000.0,Saprotan
TRX-0000064,KDMP-00003,2026-07-19,Pembelian,792000.0,Simpan Pinjam
TRX-0000065,KDMP-00003,2026-07-22,Pembelian,2002000.0,Saprotan
TRX-0000066,KDMP-00003,2026-07-17,Penjualan,2013000.0,Sembako
TRX-0000067,KDMP-00003,2026-08-10,Penjualan,2522000.0,Simpan Pinjam
TRX-0000068,KDMP-00003,2026-08-13,Simpan,1279000.0,Saprotan
TRX-0000069,KDMP-00003,2026-08-07,Simpan,1818000.0,Logistik
TRX-0000070,KDMP-00003,2026-08-08,Simpan,1277000.0,Lainnya
TRX-0000071,KDMP-00003,2026-08-07,Penjualan,3079000.0,Sembako
TRX-0000072,KDMP-00004,2026-03-27,Simpan,1036000.0,Lainnya
TRX-0000073,KDMP-00004,2026-03-20,Simpan,752000.0,Saprotan
TRX-0000074,KDMP-00004,2026-03-16,Penjualan,785000.0,Saprotan
TRX-0000075,KDMP-00004,2026-03-21,Simpan,1055000.0,Saprotan
TRX-0000076,KDMP-00004,2026-04-05,Pembelian,372000.0,Sembako
TRX-0000077,KDMP-00004,2026-04-26,Pinjam,749000.0,Saprotan
TRX-0000078,KDMP-00004,2026-04-24,Penjualan,656000.0,Logistik
TRX-0000079,KDMP-00004,2026-05-13,Pinjam,916000.0,Sembako
TRX-0000080,KDMP-00004,2026-05-19,Pembelian,648000.0,Saprotan
TRX-0000081,KDMP-00004,2026-05-08,Pinjam,767000.0,Saprotan
TRX-0000082,KDMP-00004,2026-07-04,Pinjam,85000.0,Simpan Pinjam
TRX-0000083,KDMP-00004,2026-08-03,Simpan,188000.0,Sembako
TRX-0000084,KDMP-00005,2026-03-10,Pinjam,2140000.0,Saprotan
TRX-0000085,KDMP-00005,2026-03-19,Simpan,1253000.0,Logistik
TRX-0000086,KDMP-00005,2026-03-16,Penjualan,2395000.0,Lainnya
TRX-0000087,KDMP-00005,2026-03-20,Penjualan,1750000.0,Logistik
TRX-0000088,KDMP-00005,2026-04-13,Simpan,2966000.0,Logistik
TRX-0000089,KDMP-00005,2026-04-28,Pembelian,604000.0,Simpan Pinjam
TRX-0000090,KDMP-00005,2026-04-11,Pinjam,3328000.0,Lainnya
TRX-0000091,KDMP-00005,2026-04-15,Pembelian,3039000.0,Saprotan
TRX-0000092,KDMP-00005,2026-05-16,Simpan,2689000.0,Simpan Pinjam
TRX-0000093,KDMP-00005,2026-05-02,Penjualan,1347000.0,Logistik
TRX-0000094,KDMP-00005,2026-05-25,Pembelian,1232000.0,Lainnya
TRX-0000095,KDMP-00005,2026-05-16,Penjualan,2647000.0,Simpan Pinjam
TRX-0000096,KDMP-00005,2026-05-21,Pinjam,2215000.0,Logistik
TRX-0000097,KDMP-00005,2026-06-02,Pembelian,428000.0,Saprotan
TRX-0000098,KDMP-00005,2026-06-29,Simpan,844000.0,Lainnya
TRX-0000099,KDMP-00005,2026-06-22,Penjualan,287000.0,Simpan Pinjam
TRX-0000100,KDMP-00005,2026-07-04,Pinjam,353000.0,Lainnya
TRX-0000101,KDMP-00005,2026-07-06,Penjualan,543000.0,Sembako
TRX-0000102,KDMP-00005,2026-08-09,Simpan,462000.0,Logistik
TRX-0000103,KDMP-00005,2026-08-03,Simpan,767000.0,Logistik
TRX-0000104,KDMP-00006,2026-03-30,Pinjam,309000.0,Sembako
TRX-0000105,KDMP-00006,2026-03-24,Pembelian,363000.0,Simpan Pinjam
TRX-0000106,KDMP-00006,2026-04-04,Simpan,605000.0,Sembako
TRX-0000107,KDMP-00006,2026-04-21,Simpan,494000.0,Lainnya
TRX-0000108,KDMP-00006,2026-04-20,Penjualan,707000.0,Sembako
TRX-0000109,KDMP-00006,2026-04-01,Penjualan,733000.0,Sembako
TRX-0000110,KDMP-00006,2026-05-09,Pinjam,227000.0,Simpan Pinjam
TRX-0000111,KDMP-00006,2026-05-22,Penjualan,285000.0,Saprotan
TRX-0000112,KDMP-00006,2026-06-09,Pembelian,537000.0,Logistik
TRX-0000113,KDMP-00006,2026-06-04,Penjualan,641000.0,Saprotan
TRX-0000114,KDMP-00006,2026-07-20,Pembelian,342000.0,Saprotan
TRX-0000115,KDMP-00006,2026-08-07,Simpan,290000.0,Simpan Pinjam
TRX-0000116,KDMP-00006,2026-08-08,Pembelian,124000.0,Logistik
TRX-0000117,KDMP-00007,2026-03-03,Penjualan,109000.0,Lainnya
TRX-0000118,KDMP-00007,2026-04-25,Penjualan,743000.0,Sembako
TRX-0000119,KDMP-00007,2026-04-21,Pembelian,714000.0,Logistik
TRX-0000120,KDMP-00007,2026-05-02,Penjualan,367000.0,Simpan Pinjam
TRX-0000121,KDMP-00007,2026-05-28,Simpan,850000.0,Saprotan
TRX-0000122,KDMP-00007,2026-06-04,Penjualan,522000.0,Sembako
TRX-0000123,KDMP-00007,2026-06-05,Pembelian,175000.0,Saprotan
TRX-0000124,KDMP-00007,2026-06-15,Simpan,465000.0,Sembako
TRX-0000125,KDMP-00007,2026-07-13,Pinjam,309000.0,Logistik
TRX-0000126,KDMP-00007,2026-07-13,Pinjam,381000.0,Logistik
TRX-0000127,KDMP-00007,2026-07-26,Pembelian,686000.0,Sembako
TRX-0000128,KDMP-00007,2026-08-03,Penjualan,962000.0,Logistik
TRX-0000129,KDMP-00007,2026-08-08,Pinjam,905000.0,Simpan Pinjam
TRX-0000130,KDMP-00008,2026-03-28,Pembelian,1480000.0,Logistik
TRX-0000131,KDMP-00008,2026-03-04,Pinjam,2078000.0,Logistik
TRX-0000132,KDMP-00008,2026-03-09,Simpan,387000.0,Sembako
TRX-0000133,KDMP-00008,2026-03-22,Pembelian,1661000.0,Saprotan
TRX-0000134,KDMP-00008,2026-04-24,Pembelian,1258000.0,Logistik
TRX-0000135,KDMP-00008,2026-04-22,Pinjam,1071000.0,Simpan Pinjam
TRX-0000136,KDMP-00008,2026-04-18,Penjualan,2129000.0,Sembako
TRX-0000137,KDMP-00008,2026-05-16,Pinjam,1645000.0,Simpan Pinjam
TRX-0000138,KDMP-00008,2026-05-16,Simpan,571000.0,Simpan Pinjam
TRX-0000139,KDMP-00008,2026-05-09,Penjualan,1209000.0,Lainnya
TRX-0000140,KDMP-00008,2026-05-21,Pinjam,939000.0,Logistik
TRX-0000141,KDMP-00008,2026-06-26,Pinjam,1780000.0,Sembako
TRX-0000142,KDMP-00008,2026-06-15,Simpan,2935000.0,Sembako
TRX-0000143,KDMP-00008,2026-06-24,Penjualan,3295000.0,Sembako
TRX-0000144,KDMP-00008,2026-06-02,Penjualan,1619000.0,Sembako
TRX-0000145,KDMP-00008,2026-07-18,Pembelian,3306000.0,Logistik
TRX-0000146,KDMP-00008,2026-07-12,Penjualan,3497000.0,Simpan Pinjam
TRX-0000147,KDMP-00008,2026-07-11,Pinjam,3161000.0,Saprotan
TRX-0000148,KDMP-00008,2026-07-04,Penjualan,2754000.0,Simpan Pinjam
TRX-0000149,KDMP-00008,2026-07-12,Simpan,494000.0,Lainnya
TRX-0000150,KDMP-00008,2026-07-23,Penjualan,2140000.0,Sembako
TRX-0000151,KDMP-00008,2026-08-12,Pinjam,1045000.0,Sembako
TRX-0000152,KDMP-00008,2026-08-04,Pembelian,1449000.0,Sembako
TRX-0000153,KDMP-00008,2026-08-07,Pembelian,3848000.0,Logistik
TRX-0000154,KDMP-00008,2026-08-04,Simpan,3473000.0,Sembako
TRX-0000155,KDMP-00008,2026-08-01,Penjualan,3234000.0,Logistik
TRX-0000156,KDMP-00008,2026-08-10,Pembelian,2170000.0,Logistik
TRX-0000157,KDMP-00008,2026-08-12,Penjualan,561000.0,Lainnya
TRX-0000158,KDMP-00008,2026-08-10,Pinjam,3866000.0,Lainnya
TRX-0000159,KDMP-00009,2026-03-06,Pembelian,522000.0,Sembako
TRX-0000160,KDMP-00009,2026-03-20,Simpan,344000.0,Lainnya
TRX-0000161,KDMP-00009,2026-04-30,Pembelian,808000.0,Saprotan
TRX-0000162,KDMP-00009,2026-04-11,Simpan,410000.0,Logistik
TRX-0000163,KDMP-00009,2026-05-23,Simpan,461000.0,Lainnya
TRX-0000164,KDMP-00009,2026-05-23,Pembelian,799000.0,Simpan Pinjam
TRX-0000165,KDMP-00009,2026-06-30,Pembelian,619000.0,Simpan Pinjam
TRX-0000166,KDMP-00009,2026-06-23,Simpan,492000.0,Sembako
TRX-0000167,KDMP-00009,2026-07-19,Pinjam,616000.0,Lainnya
TRX-0000168,KDMP-00009,2026-07-28,Pinjam,440000.0,Sembako
TRX-0000169,KDMP-00009,2026-07-01,Pinjam,655000.0,Simpan Pinjam
TRX-0000170,KDMP-00009,2026-07-02,Pembelian,229000.0,Saprotan
TRX-0000171,KDMP-00009,2026-08-11,Simpan,1164000.0,Simpan Pinjam
TRX-0000172,KDMP-00009,2026-08-12,Simpan,1022000.0,Simpan Pinjam
TRX-0000173,KDMP-00009,2026-08-01,Simpan,938000.0,Logistik
TRX-0000174,KDMP-00010,2026-03-18,Pinjam,2052000.0,Simpan Pinjam
TRX-0000175,KDMP-00010,2026-03-26,Simpan,1522000.0,Sembako
TRX-0000176,KDMP-00010,2026-03-13,Pinjam,2474000.0,Saprotan
TRX-0000177,KDMP-00010,2026-03-02,Penjualan,2564000.0,Saprotan
TRX-0000178,KDMP-00010,2026-04-30,Simpan,2330000.0,Lainnya
TRX-0000179,KDMP-00010,2026-04-20,Pembelian,1659000.0,Simpan Pinjam
TRX-0000180,KDMP-00010,2026-04-06,Penjualan,1061000.0,Simpan Pinjam
TRX-0000181,KDMP-00010,2026-04-24,Penjualan,2644000.0,Logistik
TRX-0000182,KDMP-00010,2026-04-09,Simpan,461000.0,Simpan Pinjam
TRX-0000183,KDMP-00010,2026-05-15,Pembelian,372000.0,Sembako
TRX-0000184,KDMP-00010,2026-05-11,Penjualan,718000.0,Lainnya
TRX-0000185,KDMP-00010,2026-05-10,Pinjam,2328000.0,Lainnya
TRX-0000186,KDMP-00010,2026-05-03,Simpan,1644000.0,Lainnya
TRX-0000187,KDMP-00010,2026-06-26,Pembelian,1606000.0,Logistik
TRX-0000188,KDMP-00010,2026-06-13,Penjualan,1660000.0,Saprotan
TRX-0000189,KDMP-00010,2026-06-07,Simpan,893000.0,Saprotan
TRX-0000190,KDMP-00010,2026-06-07,Pinjam,1226000.0,Lainnya
TRX-0000191,KDMP-00010,2026-07-12,Pinjam,766000.0,Simpan Pinjam
TRX-0000192,KDMP-00010,2026-07-20,Pembelian,3019000.0,Sembako
TRX-0000193,KDMP-00010,2026-07-11,Pinjam,2386000.0,Sembako
TRX-0000194,KDMP-00010,2026-07-18,Simpan,1540000.0,Sembako
TRX-0000195,KDMP-00010,2026-08-09,Pinjam,1952000.0,Logistik
TRX-0000196,KDMP-00010,2026-08-11,Pembelian,577000.0,Saprotan
TRX-0000197,KDMP-00010,2026-08-02,Pembelian,1950000.0,Lainnya
TRX-0000198,KDMP-00010,2026-08-11,Penjualan,2007000.0,Simpan Pinjam
TRX-0000199,KDMP-00010,2026-08-13,Pembelian,2407000.0,Logistik
