kode_wilayah,provinsi,kabupaten_kota,kecamatan,desa_kelurahan,pmo_penanggung_jawab,latitude,longitude
W0001,Jawa Barat,Kab. Bandung,Kec. Banjaran,Pasirmulya,PMO-BANDUNG,-7.1136,107.49451
W0002,Jawa Barat,Kab. Bandung,Kec. Cilengkrang,Melatiwangi,PMO-BANDUNG,-7.11274,107.48435
W0003,Jawa Barat,Kab. Bandung,Kec. Ciparay,Ciheulang,PMO-BANDUNG,-6.9724,107.44617
W0004,Jawa Barat,Kab. Bandung,Kec. Paseh,Cipedes,PMO-BANDUNG,-7.10069,107.59755
W0005,Jawa Barat,Kab. Bandung,Kec. Majalaya,Sukamukti,PMO-BANDUNG,-7.01418,107.57182
W0006,Jawa Barat,Kab. Bandung,Kec. Solokanjeruk,Solokanjeruk,PMO-BANDUNG,-7.08882,107.50895
W0007,Jawa Barat,Kab. Bandung,Kec. Rancaekek,Rancaekek Wetan,PMO-BANDUNG,-7.08869,107.5133
W0008,Jawa Barat,Kab. Bandung,Kec. Pacet,Tanjungwangi,PMO-BANDUNG,-7.04589,107.45691
W0009,Jawa Barat,Kab. Bandung,Kec. Rancaekek,Sangiang,PMO-BANDUNG,-7.09297,107.5791
W0010,Jawa Barat,Kab. Bandung,Kec. Kutawaringin,Cilame,PMO-BANDUNG,-7.02927,107.58104
W0011,Jawa Barat,Kab. Bandung,Kec. Rancabali,Sukaresmi,PMO-BANDUNG,-7.02286,107.61979
W0012,Jawa Barat,Kab. Cianjur,Kec. Bojongpicung,Sukajaya,PMO-CIANJUR,-6.85397,107.08097
W0013,Jawa Barat,Kab. Cianjur,Kec. Cijati,Sukaluyu,PMO-CIANJUR,-6.85308,107.16751
W0014,Jawa Barat,Kab. Cianjur,Kec. Campaka,Susukan,PMO-CIANJUR,-6.81885,107.07264
W0015,Jawa Barat,Kab. Cianjur,Kec. Agrabinta,Bojongkaso,PMO-CIANJUR,-6.75992,107.22854
W0016,Jawa Barat,Kab. Cianjur,Kec. Cipanas,Palasari,PMO-CIANJUR,-6.83064,107.09062
W0017,Jawa Barat,Kab. Cianjur,Kec. Cibinong,Hamerang,PMO-CIANJUR,-6.88502,107.09295
W0018,Jawa Barat,Kab. Cianjur,Kec. Cilaku,Rancagoong,PMO-CIANJUR,-6.74382,107.20723
W0019,Jawa Barat,Kab. Cianjur,Kec. Sindangbarang,Hegarsari,PMO-CIANJUR,-6.86306,107.13764
W0020,Jawa Barat,Kab. Cianjur,Kec. Cibeber,Kanoman,PMO-CIANJUR,-6.78559,107.22965
W0021,Jawa Barat,Kab. Cianjur,Kec. Naringgul,Malati,PMO-CIANJUR,-6.82605,107.12844
W0022,Jawa Barat,Kota Bandung,Kec. Cinta,Suka Asih,PMO-BANDUNG,-6.93435,107.61574
W0023,Jawa Barat,Kota Bandung,Kec. Giri,Bahagia Kencana,PMO-BANDUNG,-6.88836,107.6167
W0024,Jawa Barat,Kota Bandung,Kec. Sido,Panca Indah,PMO-BANDUNG,-6.97916,107.70204
